"","rii","X","Region","site","ID","Microsite","RDM","x","y","z","bur.drip","bur.buf","max.veg.height","rdm.cov","green.cov","non.veg.cov","largewood.cov","lrgrocks.cov","AT","PF","PF.out","PF.in","RDM.date","comments","ESI","Max","arid","label","uniID"
"485",0.778918548939083,545,"Mojave","M3",1,"ephedra",0.7797,245,145,120,0,2,20,5,0,95,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 1"
"487",0.0430622009569378,548,"Mojave","M3",2,"ephedra",0.0436,215,180,110,1,0,8,3,0,97,NA,NA,NA,"Y","july.5","july.8","july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 2"
"489",1,551,"Mojave","M3",3,"ephedra",1.2947,175,120,80,1,1,29,5,0,95,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 3"
"491",-0.330902461257976,554,"Mojave","M3",4,"ephedra",0.1101,195,145,105,0,0,13,5,0,95,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 4"
"493",1,557,"Mojave","M3",5,"ephedra",0.1489,140,115,80,0,0,11,4,0,96,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 5"
"495",-0.134557495484648,560,"Mojave","M3",6,"ephedra",0.2875,140,95,65,0,0,6,8,0,47,45,NA,NA,"Y","july.5","july.8","july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 6"
"497",1,563,"Mojave","M3",7,"ephedra",0.7204,115,65,60,0,0,6,10,0,90,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 7"
"499",0.698283767850124,566,"Mojave","M3",8,"ephedra",2.5926,75,40,55,0,0,17,10,0,90,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 8"
"501",0.852631578947368,569,"Mojave","M3",9,"ephedra",0.352,75,60,55,0,0,22,10,0,90,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 9"
"503",0.939163850178249,572,"Mojave","M3",10,"ephedra",2.0942,135,55,55,0,0,16,30,0,70,NA,NA,NA,"Y","july.5","july.8","july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 10"
"505",0.608706656542647,575,"Mojave","M3",11,"ephedra",0.9534,145,140,80,0,0,28,20,0,80,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 11"
"507",0.814789408698038,578,"Mojave","M3",12,"ephedra",0.6614,110,85,55,0,1,5,15,0,85,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 12"
"509",0.55361397934869,581,"Mojave","M3",13,"ephedra",0.2934,85,55,60,0,0,28,5,0,95,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 13"
"511",1,584,"Mojave","M3",14,"ephedra",0.2098,135,115,85,0,0,4,61,0,14,25,NA,NA,"Y","july.5","july.8","july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 14"
"513",0.800248481501933,587,"Mojave","M3",15,"ephedra",2.6082,75,60,55,0,0,19,15,0,85,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 15"
"515",0.889129562775772,590,"Mojave","M3",16,"ephedra",1.1774,115,95,65,0,0,20,20,0,80,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 16"
"517",0.931098149469179,593,"Mojave","M3",17,"ephedra",2.301,100,85,75,0,0,24,15,0,85,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 17"
"519",1,596,"Mojave","M3",18,"ephedra",0.3958,95,60,55,0,0,14,15,0,85,NA,NA,NA,"Y","july.5","july.8","july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 18"
"521",0.902682741392419,599,"Mojave","M3",19,"ephedra",0.8759,85,60,55,0,0,25,15,0,85,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 19"
"523",1,602,"Mojave","M3",20,"ephedra",2.1173,115,105,50,2,3,20,15,0,85,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 20"
"525",0.745201753060299,605,"Mojave","M3",21,"ephedra",0.5774,125,85,70,0,0,21,15,0,85,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 21"
"527",1,608,"Mojave","M3",22,"ephedra",0.3622,105,85,70,0,0,4,8,0,92,NA,NA,NA,"Y","july.5","july.8","july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 22"
"529",1,611,"Mojave","M3",23,"ephedra",0.1757,155,115,80,2,0,12,10,0,90,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 23"
"531",1,614,"Mojave","M3",24,"ephedra",1.2513,100,60,60,0,0,16,4,0,96,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 24"
"533",0.468039683536356,617,"Mojave","M3",25,"ephedra",0.5845,75,55,65,0,0,6,10,0,90,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 25"
"535",0.605337383380343,620,"Mojave","M3",26,"ephedra",0.7399,85,55,65,0,0,12,10,0,90,NA,NA,NA,"Y","july.5","july.8","july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 26"
"537",0.793610760823876,623,"Mojave","M3",27,"ephedra",0.8534,75,55,45,2,1,16,15,0,85,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 27"
"539",0.796495606509645,626,"Mojave","M3",28,"ephedra",1.7276,135,125,70,0,0,22,10,0,55,35,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 28"
"541",0.514522197140707,629,"Mojave","M3",29,"ephedra",0.5032,105,85,65,0,0,23,20,0,80,NA,NA,NA,NA,NA,NA,"july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 29"
"543",-1,632,"Mojave","M3",30,"ephedra",0,180,135,85,1,0,22,15,0,85,NA,NA,NA,"Y","july.5","july.8","july.8",NA,0.0229,40.1,2.6962457337884,"Arid 9","M3 30"
